file,line,ciudad,nombre,buscado,tipo,lat_csv,lng_csv,lat_res,lng_res,dist_m,tolerancia_m,area,confianza,fuente,veredicto
europa_occidental.csv,145,Highlands,Loch Cluanie,Loch Cluanie,Paisaje,57.212758,-4.526319,57.139610,-5.088876,34869,2500,override,high,wikidata:Q1867216,override
europa_occidental.csv,286,Highlands,Brothers' Point,Rubha nam Brathairean,Trekking,57.55,-6.15,57.586542,-6.139123,4115,3000,override,high,overpass:natural=cape Rubha nam Braithrean,override
europa_occidental.csv,126,Highlands,Signal Rock,Signal Rock,Sitio histórico,56.67,-5.1,56.664936,-5.067192,2082,200,override,high,overpass:tourism=attraction Tom a' Ghrianain,override
europa_occidental.csv,125,Highlands,Lost Valley (Coire Gabhail),Lost Valley,Trekking,56.662,-4.987,56.648928,-5.003205,1759,3000,override,high,overpass:natural=valley Coire Gabhail,override
europa_occidental.csv,280,Highlands,Old Inverlochy Castle,Old Inverlochy Castle,Castillo,56.8355,-5.082,56.832290,-5.082300,357,250,override,high,wikidata:Q17825866,override
europa_occidental.csv,300,Highlands,Clava Cairns,Clava Cairns,Sitio histórico,57.4735,-4.074,57.473063,-4.073688,52,200,override,high,overpass:tourism=attraction Balnuaran of Clava,override
europa_occidental.csv,139,Highlands,Quiraing,Quiraing,Trekking,57.6436,-6.2705,57.639736,-6.274133,481,3000,skye_noroeste,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,122,Highlands,Fort William Town,Fort William,Pueblo,56.820558,-5.105313,56.817826,-5.110952,458,1500,fort_william,high,nominatim/nominatim_free,ok
europa_occidental.csv,144,Highlands,Elgol,Elgol,Paisaje,57.152323,-6.098404,57.149235,-6.101430,389,2500,skye_sur,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,159,Highlands,Pitlochry,Pitlochry,Pueblo,56.702364,-3.73564,56.701969,-3.730685,306,1500,perthshire,high,nominatim/nominatim_free,ok
europa_occidental.csv,132,Highlands,Castle Stalker,Castle Stalker,Castillo,56.572574,-5.382622,56.571555,-5.386109,242,250,oban_appin,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,138,Highlands,Old Man of Storr,Old Man of Storr,Trekking,57.5072,-6.1742,57.506962,-6.174639,37,3000,skye_norte,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,135,Highlands,Eilean Donan Castle,Eilean Donan Castle,Castillo,57.274096,-5.515916,57.273868,-5.516033,26,250,glen_shiel,high,nominatim/nominatim_free,ok
europa_occidental.csv,148,Highlands,Victorian Market,Victorian Market,Mercado,57.478999,-4.225864,57.479058,-4.225507,22,300,inverness,high,nominatim/nominatim_free,ok
europa_occidental.csv,164,Highlands,Falkirk Wheel,Falkirk Wheel,Sitio,56.0005,-3.8415,56.000356,-3.841725,21,300,stirling_falkirk,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,297,Highlands,Urquhart Castle,Urquhart Castle,Castillo,57.3242,-4.4419,57.324109,-4.441989,11,250,loch_ness,high,nominatim/nominatim_free,ok
europa_occidental.csv,118,Highlands,West Highland Museum,West Highland Museum,Museo,56.81763,-5.111046,56.817630,-5.111046,0,150,fort_william,high,nominatim/nominatim_free,ok
europa_occidental.csv,120,Highlands,Ben Nevis,Ben Nevis,Trekking,56.796858,-5.003526,56.796858,-5.003526,0,3000,fort_william,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,124,Highlands,Glen Etive,Glen Etive,Paisaje,56.61606,-4.963061,56.616060,-4.963061,0,2500,glencoe,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,127,Highlands,Glencoe Lochan,Glencoe Lochan,Naturaleza,56.690691,-5.095836,56.690691,-5.095836,0,2000,glencoe,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,128,Highlands,Glencoe Visitor Centre,Glencoe Visitor Centre,Museo,56.670703,-5.079679,56.670703,-5.079679,0,150,glencoe,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,131,Highlands,Glenfinnan Monument,Glenfinnan Monument,Sitio histórico,56.869173,-5.43705,56.869173,-5.437050,0,200,glenfinnan,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,133,Highlands,Oban,Oban,Pueblo,56.412017,-5.472373,56.412017,-5.472373,0,1500,oban_appin,high,nominatim/nominatim_free,ok
europa_occidental.csv,134,Highlands,Loch Lomond,Loch Lomond,Paisaje,56.156196,-4.656376,56.156196,-4.656376,0,2500,loch_lomond,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,136,Highlands,Plockton,Plockton,Pueblo,57.338081,-5.651894,57.338081,-5.651894,0,1500,torridon_applecross,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,141,Highlands,Skye Museum of Island Life,Skye Museum of Island Life,Museo,57.660216,-6.368944,57.660216,-6.368944,0,150,skye_noroeste,high,nominatim/nominatim_free,ok
europa_occidental.csv,146,Highlands,Ness Islands,Ness Islands,Naturaleza,57.464031,-4.230526,57.464031,-4.230526,0,2000,inverness,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,147,Highlands,Inverness Castle,Inverness Castle,Castillo,57.476433,-4.225644,57.476433,-4.225644,0,250,inverness,high,nominatim/nominatim_free,ok
europa_occidental.csv,149,Highlands,Church Street,Church Street,Barrio,57.477762,-4.225662,57.477762,-4.225662,0,800,inverness,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,150,Highlands,Loch Ness Centre,Loch Ness Centre,Museo,57.33737,-4.477875,57.337370,-4.477875,0,150,loch_ness,high,nominatim/nominatim_free,ok
europa_occidental.csv,151,Highlands,Fort Augustus,Fort Augustus,Pueblo,57.144332,-4.681487,57.144332,-4.681487,0,1500,loch_ness,high,nominatim/nominatim_free,ok
europa_occidental.csv,155,Highlands,Chanonry Point,Chanonry Point,Naturaleza,57.574137,-4.091792,57.574137,-4.091792,0,2000,inverness,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,156,Highlands,Glen Affric,Glen Affric,Paisaje,57.263658,-4.999046,57.263658,-4.999046,0,2500,glen_affric,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,157,Highlands,Cairngorms / Aviemore,Aviemore,Parque nacional,57.193753,-3.82875,57.193753,-3.828750,0,5000,cairngorms,high,nominatim/nominatim_free,ok
europa_occidental.csv,158,Highlands,Corrieshalloch Gorge,Corrieshalloch Gorge,Naturaleza,57.757699,-5.023221,57.757699,-5.023221,0,2000,ullapool,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,161,Highlands,Dunkeld,Dunkeld,Pueblo,56.565571,-3.586255,56.565571,-3.586255,0,1500,perthshire,high,nominatim/nominatim_free,ok
europa_occidental.csv,162,Highlands,Stirling Castle,Stirling Castle,Castillo,56.124031,-3.948011,56.124031,-3.948011,0,250,stirling_falkirk,high,nominatim/nominatim_free,ok
europa_occidental.csv,163,Highlands,The Kelpies,The Kelpies,Escultura,56.019136,-3.755499,56.019136,-3.755499,0,150,stirling_falkirk,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,165,Highlands,Tomatin Distillery,Tomatin Distillery,Destilería,57.338986,-4.009283,57.338986,-4.009283,0,250,cairngorms,high,nominatim/nominatim_free,ok
