file,line,ciudad,nombre,buscado,tipo,lat_csv,lng_csv,lat_res,lng_res,dist_m,tolerancia_m,area,confianza,fuente,veredicto
europa_occidental.csv,135,Highlands,Eilean Donan Castle,Eilean Donan Castle,Castillo,57.274096,-5.515916,57.273868,-5.516033,26,250,glen_shiel,high,nominatim/nominatim_free,ok
europa_occidental.csv,93,Edimburgo,National Museum of Scotland,National Museum of Scotland,Museo,55.947288,-3.18924,55.947071,-3.189335,25,150,edimburgo,high,nominatim/nominatim_free,ok
europa_occidental.csv,148,Highlands,Victorian Market,Victorian Market,Mercado,57.478999,-4.225864,57.479058,-4.225507,22,300,inverness,high,nominatim/nominatim_free,ok
europa_occidental.csv,90,Edimburgo,Grassmarket,Grassmarket,Plaza,55.94738,-3.195953,55.947481,-3.196246,21,250,edimburgo,high,nominatim/nominatim_free,ok
europa_occidental.csv,164,Highlands,Falkirk Wheel,Falkirk Wheel,Sitio,56.0005,-3.8415,56.000356,-3.841725,21,300,stirling_falkirk,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,26,Londres,Piccadilly Circus,Piccadilly Circus,Plaza,51.5101,-0.1342,51.510138,-0.133936,19,250,londres,high,nominatim/nominatim_free,ok
europa_occidental.csv,42,Londres,Borough Market,Borough Market,Mercado,51.505526,-0.090438,51.505581,-0.090198,18,300,londres,high,nominatim/nominatim_free,ok
europa_occidental.csv,98,Edimburgo,Museum of Childhood,Museum of Childhood,Museo,55.950491,-3.185489,55.950330,-3.185507,18,150,edimburgo,high,nominatim/nominatim_free,ok
europa_occidental.csv,30,Londres,The Shard,The Shard,Mirador,51.504365,-0.086474,51.504510,-0.086437,16,150,londres,high,nominatim/nominatim_free,ok
europa_occidental.csv,49,Londres,Leadenhall Market,Leadenhall Market,Mercado,51.5128,-0.0836,51.512728,-0.083395,16,300,londres,high,nominatim/nominatim_free,ok
europa_occidental.csv,74,York,Clifford's Tower,Clifford's Tower,Sitio histórico,53.955865,-1.079952,53.955829,-1.080180,15,200,york,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,92,Edimburgo,Canongate Tolbooth,Canongate Tolbooth,Museo,55.951478,-3.179947,55.951501,-3.180176,14,150,edimburgo,review,photon/bajo_umbral,ok
